24.77 Mbps,19.29 Mbps,33.54 Mbps,
24.78 Mbps,21.28 Mbps,26.34 Mbps,
24.93 Mbps,19.52 Mbps,31.8 Mbps,
40.14 Mbps,33.76 Mbps,45.47 Mbps,
24.47 Mbps,13.82 Mbps,37.64 Mbps,
24.47 Mbps,12.85 Mbps,40.87 Mbps,
24.2 Mbps,20.22 Mbps,31.78 Mbps,
24.51 Mbps,18.8 Mbps,30.32 Mbps,
26.27 Mbps,16.72 Mbps,35.01 Mbps,
24.89 Mbps,23.25 Mbps,25.81 Mbps,
24.89 Mbps,15.54 Mbps,37.21 Mbps,
24.43 Mbps,19.14 Mbps,29.77 Mbps,
26.68 Mbps,23.53 Mbps,32.38 Mbps,
26.29 Mbps,15.17 Mbps,38.09 Mbps,
25.19 Mbps,23.66 Mbps,26.8 Mbps,
24.88 Mbps,22.62 Mbps,25.69 Mbps,
24.58 Mbps,22.23 Mbps,26.41 Mbps,
37.86 Mbps,29.74 Mbps,46.22 Mbps,
30.56 Mbps,26.41 Mbps,36.5 Mbps,
30.62 Mbps,22.78 Mbps,35.4 Mbps,
33.14 Mbps,26.49 Mbps,39.45 Mbps,
32.95 Mbps,28.05 Mbps,40.96 Mbps,
32.68 Mbps,29.5 Mbps,35.09 Mbps,
35.26 Mbps,27.96 Mbps,50.32 Mbps,
24.84 Mbps,20.85 Mbps,27.11 Mbps,
24.8 Mbps,20.3 Mbps,29.0 Mbps,
25.12 Mbps,22.73 Mbps,27.47 Mbps,
40.39 Mbps,38.62 Mbps,45.39 Mbps,
24.64 Mbps,23.38 Mbps,25.49 Mbps,
24.85 Mbps,23.78 Mbps,25.56 Mbps,
24.8 Mbps,23.68 Mbps,26.03 Mbps,
24.82 Mbps,21.4 Mbps,27.63 Mbps,
25.16 Mbps,18.42 Mbps,32.58 Mbps,
24.71 Mbps,20.97 Mbps,25.69 Mbps,
24.7 Mbps,21.13 Mbps,25.93 Mbps,
28.51 Mbps,20.32 Mbps,58.54 Mbps,
25.01 Mbps,18.05 Mbps,44.24 Mbps,
24.59 Mbps,18.79 Mbps,29.87 Mbps,
34.4 Mbps,21.7 Mbps,49.27 Mbps,
27.21 Mbps,22.38 Mbps,40.79 Mbps,
28.3 Mbps,21.97 Mbps,32.88 Mbps,
24.95 Mbps,13.99 Mbps,49.11 Mbps,
28.8 Mbps,12.96 Mbps,61.48 Mbps,
29.24 Mbps,14.59 Mbps,62.9 Mbps,
48.1 Mbps,20.9 Mbps,60.43 Mbps,
45.66 Mbps,19.97 Mbps,65.57 Mbps,
28.91 Mbps,24.28 Mbps,35.17 Mbps,
